ISO3,NAME,cat_id,max,mean,count,Forecast Timestamp,Timestep
BLZ,Belize,11111,0.9,0.2,300988,2019060712,2019060718
CRI,Costa Rica,22222,18.9,2.4,673730,2019060712,2019060718
SLV,El Salvador,33333,7.8,1.2,275275,2019060712,2019060718
GTM,Guatemala,44444,11.5,0.2,1470196,2019060712,2019060718
HND,Honduras,55555,6.6,0.6,1510249,2019060712,2019060718
NIC,Nicaragua,66666,10.2,1.6,1707970,2019060712,2019060718
PAN,Panama,77777,20.9,5.6,979338,2019060712,2019060718
BLZ,Belize,11111,9.2,1.0,300988,2019060712,2019060800
CRI,Costa Rica,22222,31.9,8.1,673730,2019060712,2019060800
SLV,El Salvador,33333,18.1,3.9,275275,2019060712,2019060800
GTM,Guatemala,44444,28.6,1.8,1470196,2019060712,2019060800
HND,Honduras,55555,28.6,2.8,1510249,2019060712,2019060800
NIC,Nicaragua,66666,17.6,4.1,1707970,2019060712,2019060800
PAN,Panama,77777,28.5,9.8,979338,2019060712,2019060800
BLZ,Belize,11111,5.1,0.4,300988,2019060712,2019060806
CRI,Costa Rica,22222,29.2,4.1,673730,2019060712,2019060806
SLV,El Salvador,33333,19.9,2.4,275275,2019060712,2019060806
GTM,Guatemala,44444,30.0,1.8,1470196,2019060712,2019060806
HND,Honduras,55555,30.0,1.6,1510249,2019060712,2019060806
NIC,Nicaragua,66666,22.2,3.5,1707970,2019060712,2019060806
PAN,Panama,77777,29.2,2.2,979338,2019060712,2019060806
BLZ,Belize,11111,1.2,0.0,300988,2019060712,2019060812
CRI,Costa Rica,22222,11.5,1.3,673730,2019060712,2019060812
SLV,El Salvador,33333,11.7,1.1,275275,2019060712,2019060812
GTM,Guatemala,44444,19.9,0.5,1470196,2019060712,2019060812
HND,Honduras,55555,19.9,0.4,1510249,2019060712,2019060812
NIC,Nicaragua,66666,14.4,0.7,1707970,2019060712,2019060812
PAN,Panama,77777,12.4,1.0,979338,2019060712,2019060812
BLZ,Belize,11111,0.4,0.0,300988,2019060712,2019060818
CRI,Costa Rica,22222,9.6,1.6,673730,2019060712,2019060818
SLV,El Salvador,33333,4.1,0.1,275275,2019060712,2019060818
GTM,Guatemala,44444,16.7,0.2,1470196,2019060712,2019060818
HND,Honduras,55555,16.7,0.8,1510249,2019060712,2019060818
NIC,Nicaragua,66666,12.2,1.9,1707970,2019060712,2019060818
PAN,Panama,77777,16.4,3.7,979338,2019060712,2019060818
BLZ,Belize,11111,4.9,0.4,300988,2019060712,2019060900
CRI,Costa Rica,22222,22.5,4.8,673730,2019060712,2019060900
SLV,El Salvador,33333,21.0,3.4,275275,2019060712,2019060900
GTM,Guatemala,44444,33.1,2.2,1470196,2019060712,2019060900
HND,Honduras,55555,33.1,3.5,1510249,2019060712,2019060900
NIC,Nicaragua,66666,24.8,6.6,1707970,2019060712,2019060900
PAN,Panama,77777,35.2,5.6,979338,2019060712,2019060900
BLZ,Belize,11111,2.1,0.3,300988,2019060712,2019060906
CRI,Costa Rica,22222,23.2,3.4,673730,2019060712,2019060906
SLV,El Salvador,33333,29.3,4.6,275275,2019060712,2019060906
GTM,Guatemala,44444,29.9,2.4,1470196,2019060712,2019060906
HND,Honduras,55555,25.4,2.1,1510249,2019060712,2019060906
NIC,Nicaragua,66666,30.1,3.1,1707970,2019060712,2019060906
PAN,Panama,77777,8.6,0.7,979338,2019060712,2019060906
BLZ,Belize,11111,0.6,0.1,300988,2019060712,2019060912
CRI,Costa Rica,22222,17.5,1.1,673730,2019060712,2019060912
SLV,El Salvador,33333,16.8,2.3,275275,2019060712,2019060912
GTM,Guatemala,44444,20.2,0.6,1470196,2019060712,2019060912
HND,Honduras,55555,9.9,0.5,1510249,2019060712,2019060912
NIC,Nicaragua,66666,15.0,1.2,1707970,2019060712,2019060912
PAN,Panama,77777,15.0,0.7,979338,2019060712,2019060912
BLZ,Belize,11111,4.4,0.7,300988,2019060712,2019060918
CRI,Costa Rica,22222,16.1,2.6,673730,2019060712,2019060918
SLV,El Salvador,33333,13.9,3.5,275275,2019060712,2019060918
GTM,Guatemala,44444,13.9,0.4,1470196,2019060712,2019060918
HND,Honduras,55555,13.9,1.3,1510249,2019060712,2019060918
NIC,Nicaragua,66666,13.7,3.0,1707970,2019060712,2019060918
PAN,Panama,77777,15.1,1.9,979338,2019060712,2019060918
BLZ,Belize,11111,14.3,2.1,300988,2019060712,2019061000
CRI,Costa Rica,22222,55.3,10.8,673730,2019060712,2019061000
SLV,El Salvador,33333,22.9,4.8,275275,2019060712,2019061000
GTM,Guatemala,44444,24.5,2.9,1470196,2019060712,2019061000
HND,Honduras,55555,27.5,5.7,1510249,2019060712,2019061000
NIC,Nicaragua,66666,38.3,9.4,1707970,2019060712,2019061000
PAN,Panama,77777,38.2,10.5,979338,2019060712,2019061000
BLZ,Belize,11111,6.9,0.5,300988,2019060712,2019061006
CRI,Costa Rica,22222,34.3,4.5,673730,2019060712,2019061006
SLV,El Salvador,33333,31.1,11.5,275275,2019060712,2019061006
GTM,Guatemala,44444,25.5,5.1,1470196,2019060712,2019061006
HND,Honduras,55555,31.1,5.1,1510249,2019060712,2019061006
NIC,Nicaragua,66666,33.2,4.9,1707970,2019060712,2019061006
PAN,Panama,77777,24.6,2.9,979338,2019060712,2019061006
BLZ,Belize,11111,1.2,0.5,300988,2019060712,2019061012
CRI,Costa Rica,22222,11.8,1.0,673730,2019060712,2019061012
SLV,El Salvador,33333,24.4,5.0,275275,2019060712,2019061012
GTM,Guatemala,44444,21.0,0.8,1470196,2019060712,2019061012
HND,Honduras,55555,18.5,1.4,1510249,2019060712,2019061012
NIC,Nicaragua,66666,28.1,2.9,1707970,2019060712,2019061012
PAN,Panama,77777,31.2,3.2,979338,2019060712,2019061012
BLZ,Belize,11111,8.2,2.6,300988,2019060712,2019061018
CRI,Costa Rica,22222,13.2,1.2,673730,2019060712,2019061018
SLV,El Salvador,33333,12.8,2.5,275275,2019060712,2019061018
GTM,Guatemala,44444,12.8,1.1,1470196,2019060712,2019061018
HND,Honduras,55555,15.6,1.4,1510249,2019060712,2019061018
NIC,Nicaragua,66666,34.6,4.5,1707970,2019060712,2019061018
PAN,Panama,77777,27.4,5.6,979338,2019060712,2019061018
BLZ,Belize,11111,15.7,3.1,300988,2019060712,2019061100
CRI,Costa Rica,22222,35.6,10.5,673730,2019060712,2019061100
SLV,El Salvador,33333,29.1,9.2,275275,2019060712,2019061100
GTM,Guatemala,44444,33.8,6.2,1470196,2019060712,2019061100
HND,Honduras,55555,33.8,8.9,1510249,2019060712,2019061100
NIC,Nicaragua,66666,33.3,6.7,1707970,2019060712,2019061100
PAN,Panama,77777,31.9,8.0,979338,2019060712,2019061100
BLZ,Belize,11111,15.6,1.3,300988,2019060712,2019061106
CRI,Costa Rica,22222,30.6,5.0,673730,2019060712,2019061106
SLV,El Salvador,33333,32.5,6.8,275275,2019060712,2019061106
GTM,Guatemala,44444,41.4,9.0,1470196,2019060712,2019061106
HND,Honduras,55555,26.8,3.0,1510249,2019060712,2019061106
NIC,Nicaragua,66666,24.1,4.3,1707970,2019060712,2019061106
PAN,Panama,77777,53.9,3.3,979338,2019060712,2019061106
