BASIN,01FFG2018021312
2004700003,67.09
2004700004,78.77
2004700005,76.9
2004700006,89.82
2004700007,75.22
2004700008,63.29
2004700009,74.8
2004700010,63.54
2004700011,73.58
2004700012,65.93
2004700013,73.34
2004700014,70.85
2004700015,93.86
2004700016,61.47
2004700017,64
2004700018,60.25
2004700019,67.47
2004700020,60.62
2004700021,91.31
2004700022,64.8
2004700023,61.07
2004700024,64.02
2004700025,53.19
2004700026,64.11
2004700027,68.92
2004700028,62.06
2004700029,53.03
2004700030,67.44
2004700031,91.2
2004700032,105.93
2004700033,89.94
2004700034,62.2
2004700035,74.54
2004700036,55.55
2004700037,54.69
2004700038,61.7
2004700039,71.27
2004700040,61.37
2004700041,70.03
2004700042,88.85
2004700043,67.25
2004700044,65.03
2004700045,67.36
2004700046,44.21
2004700047,62.28
2004700048,62.39
2004700049,53.14
2004700050,71.68
2004700051,69.06
2004700052,63.56
2004700053,90.88
2004700054,63.05
2004700055,64.22
2004700056,93.47
2004700057,92.44
2004700058,90.61
2004700059,88.86
2004700060,87.79
2004700061,64.18
2004700062,62.37
2004700063,55.71
2004700064,75.99
2004700065,-999
2004700066,104.09
2004700067,-999
2004700068,-999
2004700069,77.3
2004700070,-999
2004700071,77.53
2004700072,77.43
2004700073,77.43
2004700074,-999
2004700075,-999
2004700076,-999
2004700077,77.28
2004700078,-999
2004700079,77.25
2004700080,-999
2004700081,-999
2004700082,76.94
2004700083,-999
2004700084,103.93
2004700085,-999
2004700086,-999
2004700087,104.03
2004700088,-999
2004700089,77.27
2004700090,-999
2004700091,76.91
2004700092,-999
2004700093,93.45
2004700094,61.82
2004700095,90.92
2004700096,65.06
2004700097,63.74
2004700098,59.25
2004700099,55.35
2004700100,59.27
2004700101,63.74
2004700102,52.11
2004700103,74.89
2004700104,59.71
2004700105,72.07
2004700106,65.73
2004700107,63.19
2004700108,-999
2004700109,-999
2004700110,76.47
2004700111,-999
2004700112,76.21
2004700113,-999
2004700114,77.14
2004700115,-999
2004700116,-999
2004700117,76.71
2004700118,95.91
2004700119,90.49
2004700120,-999
2004700121,91.36
2004700122,-999
2004700123,74.62
2004700124,86.64
2004700125,85.46
2004700126,123.75
2004700127,74.74
2004700128,123.06
2004700129,59.98
2004700130,108.25
2004700131,72.9
2004700132,119.93
2004700133,79.17
2004700134,76.35
2004700135,42.08
2004700136,65.83
2004700137,69.2
2004700138,64.35
2004700139,60.51
2004700140,57.43
2004700141,57.19
2004700142,66.88
2004700143,64.12
2004700144,54.48
2004700145,71.11
2004700146,60.27
2004700147,58.59
2004700148,54.08
2004700149,48.23
2004700150,49.7
2004700151,44.28
2004700152,46.51
2004700153,50.1
2004700154,71.29
2004700155,42.12
2004700156,68.06
2004700157,49.78
2004700158,78.52
2004700159,80.11
2004700160,44.53
2004700161,41.15
2004700162,72.07
2004700163,38.75
2004700164,63.49
2004700165,59.34
2004700166,64.12
2004700167,60.24
2004700168,68.94
2004700169,50.03
2004700170,41.71
2004700171,74.41
2004700172,115.81
2004700173,61.97
2004700174,98.33
2004700175,74.16
2004700176,96.03
2004700177,60.42
2004700178,86.03
2004700179,69.76
2004700180,72
2004700181,68.84
2004700182,56.32
2004700183,64.69
2004700184,61.58
2004700185,58.68
2004700186,53.28
2004700187,50.94
2004700188,49.61
2004700189,77.34
2004700190,76.24
2004700191,77.12
2004700192,66.44
2004700193,61.72
2004700194,45.01
2004700195,103.75
2004700196,77.24
2004700197,53.36
2004700198,76.06
2004700199,56.57
2004700200,58.64
2004700201,56.15
2004700202,58.18
2004700203,63.14
2004700204,62.48
2004700205,53.05
2004700206,61.76
2004700207,58.21
2004700208,54.21
2004700209,53.05
2004700210,48.22
2004700211,53.11
2004700212,55.16
2004700213,104.15
2004700214,49.81
2004700215,62.16
2004700216,70.44
2004700217,69.86
2004700218,66.31
2004700219,69.65
2004700220,65.97
2004700221,63.74
2004700222,61.74
2004700223,43.7
2004700224,61.23
2004700225,61.43
2004700226,87.83
2004700227,88.06
2004700228,85.65
2004700229,62.42
2004700230,43.93
2004700231,61.47
2004700232,103.58
2004700233,103.51
2004700234,92.91
2004700235,51.74
2004700236,61.4
2004700237,68.74
2004700238,66.59
2004700239,61.11
2004700240,66.25
2004700241,64.15
2004700242,63.62
2004700243,62.44
2004700244,61.42
2004700245,71.44
2004700246,62.73
2004700247,62.72
2004700248,59.11
2004700249,59.86
2004700250,62.8
2004700251,61.56
2004700252,61.7
2004700253,61.13
2004700254,61.59
2004700255,104.02
2004700256,71.04
2004700257,62.7
2004700258,60.97
2004700259,54.13
2004700260,72.13
2004700261,65.32
2004700262,70.42
2004700263,64.64
2004700264,69.84
2004700265,68.09
2004700266,64.39
2004700267,53.12
2004700268,66.94
2004700269,61.08
2004700270,94.19
2004700271,93.93
2004700272,104.69
2004700273,104.09
2004700274,104.09
2004700275,104.12
2004700276,104
2004700277,62.34
2004700278,53.26
2004700279,45.29
2004700280,77.33
2004700281,93.15
2004700282,62.39
2004700283,62.43
2004700284,62.46
2004700285,60.9
2004700286,60.72
2004700287,71.45
2004700288,97.43
2004700289,106.07
2004700290,70.73
2004700291,53.32
2004700292,69.95
2004700293,58.29
2004700294,69.6
2004700295,53.37
2004700296,53.37
2004700297,65.42
2004700298,60.29
2004700299,70.85
2004700300,68.91
2004700301,64.63
2004700302,58.18
2004700303,55.09
2004700304,53.04
2004700305,104.15
2004700306,44.35
2004700307,62.35
2004700308,82.35
2004700309,62.02
2004700310,61.25
2004700311,61.48
2004700312,63.26
2004700313,64.61
2004700314,45.39
2004700315,53.14
2004700316,83.37
2004700317,53.03
2004700318,58.6
2004700319,64.39
2004700320,64.04
2004700321,71.77
2004700322,70.13
2004700323,64.5
2004700324,69.63
2004700325,66.88
2004700326,66.12
2004700327,69.66
2004700328,69.31
2004700329,67.27
2004700330,64.63
2004700331,72.47
2004700332,65.03
2004700333,64.94
2004700334,64.12
2004700335,55.71
2004700336,54.83
2004700337,44.21
2004700338,54.02
2004700339,53.11
2004700340,53.54
2004700341,61.85
2004700342,61.74
2004700343,53.14
2004700344,65.19
2004700345,93.95
2004700346,65.1
2004700347,64.73
2004700348,60.59
2004700349,60.19
2004700350,57.43
2004700351,59.01
2004700352,58.33
2004700353,61.09
2004700354,55.44
2004700355,52.72
2004700356,63.39
2004700357,53.1
2004700358,75.62
2004700359,105.65
2004700360,102.07
2004700361,100.12
2004700362,68.6
2004700363,67.24
2004700364,70.03
2004700365,101.93
2004700366,99.99
2004700367,91.56
2004700368,95.25
2004700369,63.86
2004700370,64.31
2004700371,74.53
2004700372,95.4
2004700373,94.7
2004700374,93.84
2004700375,53.1
2004700376,53.22
2004700377,93.76
2004700378,-999
2004700379,-999
2004700380,76.35
2004700381,-999
2004700382,66.01
2004700383,-999
2004700384,72.48
2004700385,69.12
2004700386,70.27
2004700387,-999
2004700388,65.12
2004700389,64.36
2004700390,64.52
2004700391,-999
2004700392,106.12
2004700393,67.6
2004700394,70.64
2004700395,-999
2004700396,120.21
2004700397,68.79
2004700398,116.97
2004700399,87.84
2004700400,72.89
2004700401,86.88
2004700402,114.84
2004700403,85.89
2004700404,104.34
2004700405,86.25
2004700406,74.83
2004700407,73.13
2004700408,70.51
2004700409,66.24
2004700410,65.39
2004700411,67.66
2004700412,66.97
2004700413,65.26
2004700414,65.84
2004700415,114.63
2004700416,110.43
2004700417,78.98
2004700418,102.38
2004700419,72.22
2004700420,-333
2004700421,106.61
2004700422,64.52
2004700423,63.06
2004700424,-333
2004700425,-333
2004700426,-999
2004700427,-999
2004700428,-999
2004700429,95.69
2004700430,-999
2004700431,-999
2004700432,92.98
2004700433,-999
2004700434,93.95
2004700435,-999
2004700436,-999
2004700437,75.13
2004700438,74.98
2004700439,74.45
2004700440,73.07
