cat_id,mean,max
2004700003.0,3.7,9.1
2004700004.0,2.8,11.0
2004700005.0,2.4,9.1
2004700006.0,4.8,9.1
2004700008.0,3.4,13.0
2004700009.0,3.8,11.4
2004700010.0,8.7,13.0
2004700011.0,13.8,21.4
2004700012.0,11.1,21.9
2004700014.0,5.2,13.0
2004700015.0,7.8,20.9
2004700016.0,6.8,9.2
2004700018.0,2.3,8.0
2004700019.0,10.4,17.5
2004700020.0,4.0,16.6
2004700021.0,13.0,33.4
2004700025.0,0.0,0.1
2004700027.0,0.4,3.1
2004700028.0,0.0,0.0
2004700029.0,0.3,0.8
2004700030.0,5.9,13.2
2004700031.0,0.0,0.0
2004700032.0,0.0,0.0
2004700033.0,0.0,0.0
2004700034.0,0.0,0.8
2004700036.0,0.0,0.0
2004700037.0,0.1,1.0
2004700038.0,0.5,4.1
2004700040.0,0.0,0.5
2004700042.0,0.1,0.1
2004700043.0,0.7,4.1
2004700047.0,0.0,0.0
2004700048.0,0.2,1.4
2004700051.0,4.7,11.0
2004700053.0,1.6,9.9
2004700054.0,3.4,9.9
2004700055.0,5.2,13.1
2004700056.0,0.7,2.8
2004700058.0,0.3,3.8
2004700062.0,0.0,0.0
2004700063.0,0.0,0.1
2004700065.0,1.1,4.5
2004700066.0,0.0,0.1
2004700067.0,1.1,4.2
2004700068.0,0.6,5.2
2004700069.0,0.0,0.1
2004700070.0,0.1,0.2
2004700071.0,0.0,0.1
2004700073.0,0.0,0.2
2004700074.0,1.3,5.2
2004700075.0,0.0,0.0
2004700076.0,0.0,0.0
2004700078.0,0.0,0.0
2004700079.0,0.0,0.1
2004700080.0,0.3,2.2
2004700081.0,0.0,0.6
2004700082.0,0.4,1.5
2004700083.0,0.6,1.4
2004700084.0,0.3,1.4
2004700088.0,0.4,1.4
2004700090.0,0.5,0.8
2004700091.0,0.1,0.8
2004700092.0,0.1,0.8
2004700093.0,0.1,1.5
2004700095.0,0.2,1.5
2004700096.0,1.6,7.4
2004700097.0,2.8,13.5
2004700098.0,10.4,17.1
2004700099.0,9.1,21.6
2004700100.0,2.0,6.8
2004700101.0,0.9,4.0
2004700103.0,0.3,0.5
2004700105.0,0.8,1.2
2004700106.0,0.5,4.0
2004700107.0,0.8,2.0
2004700109.0,0.0,0.0
2004700111.0,0.0,0.1
2004700113.0,0.0,0.1
2004700114.0,0.1,0.1
2004700115.0,0.1,0.1
2004700116.0,0.1,0.1
2004700117.0,0.1,0.8
2004700120.0,0.0,0.1
2004700121.0,0.9,2.6
2004700123.0,0.1,0.4
2004700124.0,0.0,0.0
2004700125.0,0.0,0.4
2004700126.0,0.1,0.1
2004700127.0,1.0,2.8
2004700129.0,0.1,0.6
2004700130.0,0.2,0.4
2004700131.0,0.5,0.9
